Age,Weight,Height,Area,Preference,DietPlan
52,66,179,Punjab,Gain Weight,"Eat Makki di Roti, Sarson da Saag, Paneer Tikka, and Lassi"
22,82,175,Rajasthan,Gain Weight,General Balanced Diet with Local Foods
50,95,188,Karnataka,Lose Weight,"Eat Ragi Roti, Vegetable Sambar, Sprouts, and Buttermilk"
22,95,191,Telangana,Lose Weight,General Balanced Diet with Local Foods
40,99,195,Chhattisgarh,Lose Weight,General Balanced Diet with Local Foods
55,58,188,Bihar,Gain Weight,General Balanced Diet with Local Foods
35,89,167,Sikkim,Stay Healthy,General Balanced Diet with Local Foods
54,68,183,Mizoram,Stay Healthy,General Balanced Diet with Local Foods
33,58,171,Jharkhand,Lose Weight,General Balanced Diet with Local Foods
54,58,153,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
46,82,192,Himachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
28,64,183,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
55,70,160,Gujarat,Stay Healthy,General Balanced Diet with Local Foods
27,90,167,Gujarat,Stay Healthy,General Balanced Diet with Local Foods
25,52,154,Karnataka,Lose Weight,"Eat Ragi Roti, Vegetable Sambar, Sprouts, and Buttermilk"
27,69,170,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
54,80,180,Manipur,Gain Weight,General Balanced Diet with Local Foods
52,88,151,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
35,92,189,Madhya Pradesh,Gain Weight,General Balanced Diet with Local Foods
29,99,169,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
25,59,166,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
45,76,160,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
34,56,152,Punjab,Stay Healthy,"Consume Wheat Roti, Dal Makhani (Light), and Lassi"
34,77,183,Tripura,Gain Weight,General Balanced Diet with Local Foods
24,75,191,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
30,87,163,Meghalaya,Stay Healthy,General Balanced Diet with Local Foods
28,82,183,Sikkim,Gain Weight,General Balanced Diet with Local Foods
36,60,190,Nagaland,Lose Weight,General Balanced Diet with Local Foods
19,69,155,Meghalaya,Lose Weight,General Balanced Diet with Local Foods
31,56,192,Tripura,Lose Weight,General Balanced Diet with Local Foods
35,63,178,Sikkim,Lose Weight,General Balanced Diet with Local Foods
55,76,168,Mizoram,Lose Weight,General Balanced Diet with Local Foods
56,72,176,Odisha,Lose Weight,General Balanced Diet with Local Foods
26,67,188,Bihar,Lose Weight,General Balanced Diet with Local Foods
46,71,192,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
22,70,159,West Bengal,Gain Weight,"Consume Rice, Macher Jhol, Sweets like Rosogolla, and Milk"
34,82,157,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
19,69,159,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
30,99,178,Tripura,Gain Weight,General Balanced Diet with Local Foods
24,88,156,Tamil Nadu,Stay Healthy,"Eat Idli, Sambar, Coconut Chutney, and Fresh Fruits"
47,89,179,Gujarat,Gain Weight,General Balanced Diet with Local Foods
30,61,174,Telangana,Gain Weight,General Balanced Diet with Local Foods
26,93,159,Uttarakhand,Lose Weight,General Balanced Diet with Local Foods
22,77,193,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
34,67,184,Himachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
34,59,163,Madhya Pradesh,Stay Healthy,General Balanced Diet with Local Foods
44,87,161,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
41,97,168,Uttar Pradesh,Gain Weight,General Balanced Diet with Local Foods
37,65,155,Mizoram,Stay Healthy,General Balanced Diet with Local Foods
34,71,166,Telangana,Gain Weight,General Balanced Diet with Local Foods
52,65,164,Assam,Lose Weight,General Balanced Diet with Local Foods
49,61,180,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
49,65,157,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
19,73,195,Goa,Lose Weight,General Balanced Diet with Local Foods
50,76,170,Odisha,Lose Weight,General Balanced Diet with Local Foods
39,70,171,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
24,75,178,Assam,Lose Weight,General Balanced Diet with Local Foods
20,80,152,Punjab,Gain Weight,"Eat Makki di Roti, Sarson da Saag, Paneer Tikka, and Lassi"
42,99,173,West Bengal,Gain Weight,"Consume Rice, Macher Jhol, Sweets like Rosogolla, and Milk"
50,65,187,Himachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
59,83,173,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
32,100,172,Mizoram,Stay Healthy,General Balanced Diet with Local Foods
29,61,192,Uttar Pradesh,Lose Weight,General Balanced Diet with Local Foods
47,88,159,Haryana,Gain Weight,General Balanced Diet with Local Foods
21,53,150,Bihar,Gain Weight,General Balanced Diet with Local Foods
23,73,160,Tripura,Stay Healthy,General Balanced Diet with Local Foods
49,66,190,Manipur,Stay Healthy,General Balanced Diet with Local Foods
56,97,193,West Bengal,Stay Healthy,"Eat Fish Curry, Rice, Moong Dal, and Seasonal Fruits"
42,97,155,Andhra Pradesh,Gain Weight,General Balanced Diet with Local Foods
24,90,163,Gujarat,Lose Weight,General Balanced Diet with Local Foods
60,91,173,Gujarat,Lose Weight,General Balanced Diet with Local Foods
47,62,171,West Bengal,Gain Weight,"Consume Rice, Macher Jhol, Sweets like Rosogolla, and Milk"
37,88,166,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
47,76,192,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
30,99,189,Goa,Stay Healthy,General Balanced Diet with Local Foods
55,78,153,Kerala,Stay Healthy,"Include Idiyappam, Vegetable Stew, and Fresh Coconut Water"
18,76,151,Tripura,Gain Weight,General Balanced Diet with Local Foods
39,88,152,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
38,80,191,Rajasthan,Gain Weight,General Balanced Diet with Local Foods
23,78,162,Uttar Pradesh,Lose Weight,General Balanced Diet with Local Foods
19,98,169,Mizoram,Stay Healthy,General Balanced Diet with Local Foods
52,50,178,Manipur,Gain Weight,General Balanced Diet with Local Foods
23,84,176,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
53,94,184,Madhya Pradesh,Lose Weight,General Balanced Diet with Local Foods
25,95,187,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
29,92,188,Goa,Stay Healthy,General Balanced Diet with Local Foods
19,70,154,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
58,94,178,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
55,61,195,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
32,75,169,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
39,78,166,Odisha,Stay Healthy,General Balanced Diet with Local Foods
18,83,168,Tripura,Lose Weight,General Balanced Diet with Local Foods
52,78,188,Odisha,Stay Healthy,General Balanced Diet with Local Foods
21,79,168,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
44,63,188,Tamil Nadu,Lose Weight,"Include Millets Dosa, Sambhar, Coconut Chutney, and Fresh Fruits"
48,95,185,Uttarakhand,Gain Weight,General Balanced Diet with Local Foods
26,69,189,Tamil Nadu,Lose Weight,"Include Millets Dosa, Sambhar, Coconut Chutney, and Fresh Fruits"
52,58,164,Andhra Pradesh,Gain Weight,General Balanced Diet with Local Foods
31,97,181,Punjab,Gain Weight,"Eat Makki di Roti, Sarson da Saag, Paneer Tikka, and Lassi"
25,84,164,Karnataka,Lose Weight,"Eat Ragi Roti, Vegetable Sambar, Sprouts, and Buttermilk"
35,88,169,Gujarat,Gain Weight,General Balanced Diet with Local Foods
50,64,190,Manipur,Gain Weight,General Balanced Diet with Local Foods
34,94,185,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
28,65,171,Tamil Nadu,Stay Healthy,"Eat Idli, Sambar, Coconut Chutney, and Fresh Fruits"
53,74,175,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
41,82,186,Madhya Pradesh,Gain Weight,General Balanced Diet with Local Foods
57,93,192,Bihar,Stay Healthy,General Balanced Diet with Local Foods
33,90,189,Sikkim,Gain Weight,General Balanced Diet with Local Foods
23,94,190,Telangana,Stay Healthy,General Balanced Diet with Local Foods
56,98,191,Bihar,Gain Weight,General Balanced Diet with Local Foods
41,57,180,Meghalaya,Gain Weight,General Balanced Diet with Local Foods
31,78,150,Gujarat,Stay Healthy,General Balanced Diet with Local Foods
36,52,160,Punjab,Gain Weight,"Eat Makki di Roti, Sarson da Saag, Paneer Tikka, and Lassi"
20,68,193,Meghalaya,Stay Healthy,General Balanced Diet with Local Foods
30,89,164,Maharashtra,Gain Weight,"Opt for Puran Poli, Basundi, Misal Pav, and Dry Fruits"
37,79,169,Uttar Pradesh,Stay Healthy,General Balanced Diet with Local Foods
46,95,164,Tamil Nadu,Lose Weight,"Include Millets Dosa, Sambhar, Coconut Chutney, and Fresh Fruits"
50,50,152,Uttar Pradesh,Lose Weight,General Balanced Diet with Local Foods
40,94,168,Telangana,Stay Healthy,General Balanced Diet with Local Foods
36,77,184,Goa,Lose Weight,General Balanced Diet with Local Foods
56,62,170,Haryana,Gain Weight,General Balanced Diet with Local Foods
43,55,157,Karnataka,Gain Weight,"Include Ragi Mudde, Bisi Bele Bath, Ghee Dosa, and Banana Smoothies"
21,78,172,Andhra Pradesh,Lose Weight,General Balanced Diet with Local Foods
29,87,180,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
40,80,180,Mizoram,Lose Weight,General Balanced Diet with Local Foods
28,76,161,Rajasthan,Stay Healthy,General Balanced Diet with Local Foods
21,70,186,Kerala,Stay Healthy,"Include Idiyappam, Vegetable Stew, and Fresh Coconut Water"
40,60,194,Kerala,Stay Healthy,"Include Idiyappam, Vegetable Stew, and Fresh Coconut Water"
27,87,165,Madhya Pradesh,Lose Weight,General Balanced Diet with Local Foods
18,98,194,Kerala,Gain Weight,"Have Puttu with Coconut Milk, Banana Fry, and Fish Curry"
50,96,150,Haryana,Lose Weight,General Balanced Diet with Local Foods
55,76,167,Manipur,Gain Weight,General Balanced Diet with Local Foods
47,82,160,Rajasthan,Gain Weight,General Balanced Diet with Local Foods
31,89,181,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
30,63,178,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
50,51,178,Sikkim,Gain Weight,General Balanced Diet with Local Foods
40,61,192,Madhya Pradesh,Gain Weight,General Balanced Diet with Local Foods
56,94,172,Uttar Pradesh,Gain Weight,General Balanced Diet with Local Foods
36,73,174,Uttarakhand,Gain Weight,General Balanced Diet with Local Foods
58,63,178,Assam,Lose Weight,General Balanced Diet with Local Foods
56,100,171,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
47,56,175,Himachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
58,94,160,Bihar,Lose Weight,General Balanced Diet with Local Foods
58,59,172,Kerala,Gain Weight,"Have Puttu with Coconut Milk, Banana Fry, and Fish Curry"
22,70,189,Haryana,Gain Weight,General Balanced Diet with Local Foods
44,71,159,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
18,55,186,Odisha,Gain Weight,General Balanced Diet with Local Foods
57,59,185,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
34,76,163,Nagaland,Gain Weight,General Balanced Diet with Local Foods
57,75,170,Jharkhand,Stay Healthy,General Balanced Diet with Local Foods
21,82,169,Odisha,Lose Weight,General Balanced Diet with Local Foods
33,50,169,Karnataka,Gain Weight,"Include Ragi Mudde, Bisi Bele Bath, Ghee Dosa, and Banana Smoothies"
55,66,194,Karnataka,Lose Weight,"Eat Ragi Roti, Vegetable Sambar, Sprouts, and Buttermilk"
53,55,150,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
25,63,173,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
32,86,187,Manipur,Lose Weight,General Balanced Diet with Local Foods
30,100,150,Chhattisgarh,Gain Weight,General Balanced Diet with Local Foods
36,88,163,Punjab,Stay Healthy,"Consume Wheat Roti, Dal Makhani (Light), and Lassi"
33,61,157,Telangana,Stay Healthy,General Balanced Diet with Local Foods
23,77,172,Madhya Pradesh,Lose Weight,General Balanced Diet with Local Foods
29,50,184,Uttar Pradesh,Lose Weight,General Balanced Diet with Local Foods
45,84,170,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
18,66,189,Uttarakhand,Lose Weight,General Balanced Diet with Local Foods
45,95,164,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
56,87,166,Telangana,Lose Weight,General Balanced Diet with Local Foods
56,85,186,Punjab,Stay Healthy,"Consume Wheat Roti, Dal Makhani (Light), and Lassi"
19,75,180,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
55,84,191,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
48,59,173,Madhya Pradesh,Lose Weight,General Balanced Diet with Local Foods
25,84,169,Punjab,Gain Weight,"Eat Makki di Roti, Sarson da Saag, Paneer Tikka, and Lassi"
37,87,178,Sikkim,Stay Healthy,General Balanced Diet with Local Foods
37,92,173,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
31,67,156,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
35,69,162,Sikkim,Stay Healthy,General Balanced Diet with Local Foods
47,76,187,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
54,63,151,Manipur,Gain Weight,General Balanced Diet with Local Foods
34,96,173,Odisha,Stay Healthy,General Balanced Diet with Local Foods
48,58,170,Mizoram,Gain Weight,General Balanced Diet with Local Foods
22,52,189,Uttarakhand,Gain Weight,General Balanced Diet with Local Foods
20,50,164,Goa,Gain Weight,General Balanced Diet with Local Foods
42,77,157,Bihar,Stay Healthy,General Balanced Diet with Local Foods
26,81,184,Rajasthan,Stay Healthy,General Balanced Diet with Local Foods
58,89,176,Nagaland,Lose Weight,General Balanced Diet with Local Foods
50,93,181,Rajasthan,Gain Weight,General Balanced Diet with Local Foods
57,92,164,Madhya Pradesh,Gain Weight,General Balanced Diet with Local Foods
35,58,186,Madhya Pradesh,Stay Healthy,General Balanced Diet with Local Foods
46,60,179,Goa,Lose Weight,General Balanced Diet with Local Foods
29,78,172,Odisha,Stay Healthy,General Balanced Diet with Local Foods
25,80,176,Gujarat,Gain Weight,General Balanced Diet with Local Foods
32,66,160,Jharkhand,Stay Healthy,General Balanced Diet with Local Foods
41,98,155,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
44,89,155,Rajasthan,Stay Healthy,General Balanced Diet with Local Foods
31,91,158,Maharashtra,Gain Weight,"Opt for Puran Poli, Basundi, Misal Pav, and Dry Fruits"
59,90,183,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
49,55,174,Manipur,Stay Healthy,General Balanced Diet with Local Foods
29,97,175,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
33,64,186,Uttarakhand,Lose Weight,General Balanced Diet with Local Foods
58,82,193,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
54,97,169,Nagaland,Lose Weight,General Balanced Diet with Local Foods
57,95,159,West Bengal,Stay Healthy,"Eat Fish Curry, Rice, Moong Dal, and Seasonal Fruits"
28,64,182,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
54,98,159,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
19,78,163,Jharkhand,Gain Weight,General Balanced Diet with Local Foods
47,88,150,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
33,59,168,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
40,69,168,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
18,61,184,Mizoram,Lose Weight,General Balanced Diet with Local Foods
53,80,192,Maharashtra,Gain Weight,"Opt for Puran Poli, Basundi, Misal Pav, and Dry Fruits"
28,72,165,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
58,55,150,Assam,Lose Weight,General Balanced Diet with Local Foods
54,87,152,Tripura,Lose Weight,General Balanced Diet with Local Foods
41,88,176,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
49,74,162,Goa,Stay Healthy,General Balanced Diet with Local Foods
55,83,190,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
42,89,193,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
38,63,174,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
31,50,159,Andhra Pradesh,Lose Weight,General Balanced Diet with Local Foods
31,78,193,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
47,95,152,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
35,84,151,Andhra Pradesh,Lose Weight,General Balanced Diet with Local Foods
20,84,172,Andhra Pradesh,Lose Weight,General Balanced Diet with Local Foods
49,84,183,Haryana,Gain Weight,General Balanced Diet with Local Foods
30,57,178,Bihar,Lose Weight,General Balanced Diet with Local Foods
30,50,174,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
34,67,174,Odisha,Stay Healthy,General Balanced Diet with Local Foods
21,99,157,Mizoram,Lose Weight,General Balanced Diet with Local Foods
27,92,151,Uttarakhand,Gain Weight,General Balanced Diet with Local Foods
24,59,175,Manipur,Stay Healthy,General Balanced Diet with Local Foods
55,89,162,Gujarat,Gain Weight,General Balanced Diet with Local Foods
20,84,182,Telangana,Stay Healthy,General Balanced Diet with Local Foods
24,92,190,Gujarat,Gain Weight,General Balanced Diet with Local Foods
20,99,184,Kerala,Gain Weight,"Have Puttu with Coconut Milk, Banana Fry, and Fish Curry"
50,63,165,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
25,53,158,West Bengal,Stay Healthy,"Eat Fish Curry, Rice, Moong Dal, and Seasonal Fruits"
45,60,165,Goa,Lose Weight,General Balanced Diet with Local Foods
54,56,157,Andhra Pradesh,Stay Healthy,General Balanced Diet with Local Foods
37,93,183,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
22,78,173,Assam,Stay Healthy,General Balanced Diet with Local Foods
60,88,161,Tripura,Stay Healthy,General Balanced Diet with Local Foods
22,94,155,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
27,93,193,Gujarat,Lose Weight,General Balanced Diet with Local Foods
19,79,169,Manipur,Stay Healthy,General Balanced Diet with Local Foods
54,74,166,Telangana,Stay Healthy,General Balanced Diet with Local Foods
49,60,152,West Bengal,Lose Weight,"Have Moong Dal Khichdi, Grilled Fish, and Seasonal Fruits"
19,56,164,Assam,Lose Weight,General Balanced Diet with Local Foods
34,76,182,Sikkim,Lose Weight,General Balanced Diet with Local Foods
20,90,181,Manipur,Stay Healthy,General Balanced Diet with Local Foods
58,54,173,Nagaland,Lose Weight,General Balanced Diet with Local Foods
50,83,187,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
50,85,161,Karnataka,Gain Weight,"Include Ragi Mudde, Bisi Bele Bath, Ghee Dosa, and Banana Smoothies"
58,84,185,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
23,95,162,Meghalaya,Lose Weight,General Balanced Diet with Local Foods
34,71,182,Kerala,Gain Weight,"Have Puttu with Coconut Milk, Banana Fry, and Fish Curry"
43,73,155,Bihar,Gain Weight,General Balanced Diet with Local Foods
28,79,193,Tamil Nadu,Stay Healthy,"Eat Idli, Sambar, Coconut Chutney, and Fresh Fruits"
21,61,175,Assam,Gain Weight,General Balanced Diet with Local Foods
53,100,162,Odisha,Gain Weight,General Balanced Diet with Local Foods
19,53,189,Himachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
59,64,154,Tripura,Gain Weight,General Balanced Diet with Local Foods
31,50,191,Himachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
37,92,150,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
54,56,167,Bihar,Gain Weight,General Balanced Diet with Local Foods
59,63,179,Gujarat,Lose Weight,General Balanced Diet with Local Foods
58,81,162,Kerala,Lose Weight,"Consume Brown Rice, Avial, Cucumber Salad, and Coconut Water"
45,75,194,Haryana,Stay Healthy,General Balanced Diet with Local Foods
43,90,173,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
43,65,181,Manipur,Stay Healthy,General Balanced Diet with Local Foods
60,66,184,Telangana,Gain Weight,General Balanced Diet with Local Foods
27,68,186,Tamil Nadu,Lose Weight,"Include Millets Dosa, Sambhar, Coconut Chutney, and Fresh Fruits"
30,65,161,Assam,Stay Healthy,General Balanced Diet with Local Foods
20,78,158,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
31,74,182,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
40,58,161,Meghalaya,Lose Weight,General Balanced Diet with Local Foods
42,99,152,Uttar Pradesh,Gain Weight,General Balanced Diet with Local Foods
23,94,172,Uttarakhand,Lose Weight,General Balanced Diet with Local Foods
29,83,194,Tripura,Gain Weight,General Balanced Diet with Local Foods
31,71,191,Assam,Lose Weight,General Balanced Diet with Local Foods
31,51,177,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
32,78,162,Haryana,Gain Weight,General Balanced Diet with Local Foods
24,81,172,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
58,51,155,Mizoram,Gain Weight,General Balanced Diet with Local Foods
47,86,173,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
29,92,159,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
31,57,153,Arunachal Pradesh,Lose Weight,General Balanced Diet with Local Foods
34,79,181,Manipur,Stay Healthy,General Balanced Diet with Local Foods
39,60,153,Bihar,Stay Healthy,General Balanced Diet with Local Foods
27,66,191,Sikkim,Gain Weight,General Balanced Diet with Local Foods
46,57,186,Telangana,Gain Weight,General Balanced Diet with Local Foods
45,68,188,Goa,Lose Weight,General Balanced Diet with Local Foods
29,57,150,Goa,Gain Weight,General Balanced Diet with Local Foods
19,98,163,Jharkhand,Stay Healthy,General Balanced Diet with Local Foods
26,91,166,Mizoram,Gain Weight,General Balanced Diet with Local Foods
28,55,156,Andhra Pradesh,Gain Weight,General Balanced Diet with Local Foods
58,66,181,Jharkhand,Lose Weight,General Balanced Diet with Local Foods
35,59,165,Jharkhand,Lose Weight,General Balanced Diet with Local Foods
38,77,179,Kerala,Stay Healthy,"Include Idiyappam, Vegetable Stew, and Fresh Coconut Water"
56,65,181,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
34,90,189,Tamil Nadu,Stay Healthy,"Eat Idli, Sambar, Coconut Chutney, and Fresh Fruits"
35,91,167,Tamil Nadu,Stay Healthy,"Eat Idli, Sambar, Coconut Chutney, and Fresh Fruits"
46,83,185,Meghalaya,Stay Healthy,General Balanced Diet with Local Foods
37,94,162,Uttar Pradesh,Gain Weight,General Balanced Diet with Local Foods
37,66,188,Meghalaya,Gain Weight,General Balanced Diet with Local Foods
32,81,187,Bihar,Lose Weight,General Balanced Diet with Local Foods
21,80,162,Mizoram,Gain Weight,General Balanced Diet with Local Foods
21,61,154,Odisha,Lose Weight,General Balanced Diet with Local Foods
48,72,175,Rajasthan,Stay Healthy,General Balanced Diet with Local Foods
51,50,181,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
19,78,183,Madhya Pradesh,Stay Healthy,General Balanced Diet with Local Foods
32,73,176,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
53,80,192,Nagaland,Lose Weight,General Balanced Diet with Local Foods
54,59,157,Jharkhand,Gain Weight,General Balanced Diet with Local Foods
25,87,192,Assam,Gain Weight,General Balanced Diet with Local Foods
54,59,173,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
46,52,171,Telangana,Gain Weight,General Balanced Diet with Local Foods
39,73,192,Uttar Pradesh,Stay Healthy,General Balanced Diet with Local Foods
31,50,155,Nagaland,Stay Healthy,General Balanced Diet with Local Foods
22,69,150,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
53,67,166,Tripura,Lose Weight,General Balanced Diet with Local Foods
46,92,183,Punjab,Stay Healthy,"Consume Wheat Roti, Dal Makhani (Light), and Lassi"
54,54,162,Telangana,Lose Weight,General Balanced Diet with Local Foods
19,56,194,Maharashtra,Stay Healthy,"Have Dal Khichdi, Mixed Vegetable Curry, and Buttermilk"
55,52,177,Goa,Stay Healthy,General Balanced Diet with Local Foods
31,59,180,Arunachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
26,54,158,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
51,81,191,Punjab,Lose Weight,"Eat Missi Roti, Dal Tadka, Cucumber Raita, and Lemon Water"
51,71,193,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
30,74,165,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
36,71,163,Chhattisgarh,Gain Weight,General Balanced Diet with Local Foods
31,50,181,Meghalaya,Lose Weight,General Balanced Diet with Local Foods
50,62,172,Haryana,Lose Weight,General Balanced Diet with Local Foods
57,99,185,Madhya Pradesh,Stay Healthy,General Balanced Diet with Local Foods
47,82,187,Rajasthan,Lose Weight,General Balanced Diet with Local Foods
31,100,180,Maharashtra,Lose Weight,"Opt for Jowar Bhakri, Poha, Sprouts Salad, and Lemon Water"
58,68,173,Bihar,Stay Healthy,General Balanced Diet with Local Foods
47,83,161,Arunachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
35,51,153,Andhra Pradesh,Gain Weight,General Balanced Diet with Local Foods
24,92,176,Madhya Pradesh,Lose Weight,General Balanced Diet with Local Foods
27,56,179,West Bengal,Gain Weight,"Consume Rice, Macher Jhol, Sweets like Rosogolla, and Milk"
50,63,174,Himachal Pradesh,Stay Healthy,General Balanced Diet with Local Foods
56,98,191,Goa,Lose Weight,General Balanced Diet with Local Foods
43,88,154,Assam,Stay Healthy,General Balanced Diet with Local Foods
38,70,188,Haryana,Gain Weight,General Balanced Diet with Local Foods
43,71,173,Andhra Pradesh,Gain Weight,General Balanced Diet with Local Foods
57,94,162,West Bengal,Gain Weight,"Consume Rice, Macher Jhol, Sweets like Rosogolla, and Milk"
51,53,165,Chhattisgarh,Lose Weight,General Balanced Diet with Local Foods
43,64,183,Karnataka,Stay Healthy,"Consume Idli, Sambar, Fresh Fruits, and Curd"
36,86,168,Chhattisgarh,Stay Healthy,General Balanced Diet with Local Foods
46,59,160,Himachal Pradesh,Gain Weight,General Balanced Diet with Local Foods
42,100,186,Odisha,Gain Weight,General Balanced Diet with Local Foods
41,81,156,Tamil Nadu,Gain Weight,"Include Pongal, Dosa with Butter, Filter Coffee, and Curd Rice"
29,70,167,Uttarakhand,Stay Healthy,General Balanced Diet with Local Foods
